#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,host,method,peak_users,result,server,service,status_code,system_type,teastore
,,0,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:53:00Z,0.14753262874999998,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,0,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:54:00Z,0.3142089813333333,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,0,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:55:00Z,0.22641773399999998,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,0,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:56:00Z,0.19245007666666666,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,0,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:57:00Z,0.3358255138333333,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,0,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:58:00Z,0.127943893,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,0,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:59:00Z,0.030962543166666672,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,0,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:00:00Z,0.032572509,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T20:55:00Z,0.028199035750000004,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T20:56:00Z,0.029908938166666663,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T20:57:00Z,0.027700906999999997,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T20:58:00Z,0.027895750166666667,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T20:59:00Z,0.023695856666666668,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:00:00Z,0.027601706166666667,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:01:00Z,0.047113179166666665,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:02:00Z,0.027569978999999998,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:03:00Z,0.14691926816666664,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
